name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Hueco Tanks,11923,Valid,Stony,314.0,Found,1985.0,31.91667,-106.15,Exact
Hueco Tanks (b),11924,Valid,Stony,150.0,Found,1985.0,31.91667,-106.15,Exact
Hugo (stone),11983,Valid,Stony,80.0,Found,1936.0,39.13333,-103.48333,Exact
Hugoton,11984,Valid,Stony,350000.0,Found,1927.0,37.2,-101.35,Exact
Huizopa,11985,Valid,Iron,140000.0,Found,1907.0,28.9,-108.56667,Exact
Hunter,11987,Valid,Stony,74600.0,Found,1962.0,36.56,-97.66667,Exact
Huntsman,11988,Valid,Stony,14500.0,Found,1910.0,41.18333,-103.0,Exact
Hyattville,52755,Valid,Stony,8911.0,Found,2008.0,44.33823,-107.67405,Exact
Idalia,11998,Valid,Stony,7400.0,Found,1968.0,39.695,-102.295,Exact
Ider,11999,Valid,Iron,140000.0,Found,1957.0,34.68333,-85.65,Exact
Illinois Gulch,12024,Valid,Iron,2500.0,Found,1899.0,46.68333,-112.55,Exact
Imlay,52855,Valid,Stony,770.0,Found,2009.0,40.74018,-118.17285,Exact
Imperial,12026,Valid,Stony,4.0,Found,1908.0,32.86667,-115.58333,Exact
Indian Valley,12029,Valid,Iron,14100.0,Found,1887.0,36.93333,-80.5,Exact
Indianola,12030,Valid,Stony,4000.0,Found,1939.0,40.23333,-100.41667,Exact
Ingalls,12033,Valid,Stony,226.0,Found,1937.0,37.83333,-100.45,Exact
